batter,player_name,mean_estimated_woba,pitch_count,risp_woba_rank
572138,"Singleton, Jon",0.3396754659090909,88,115.0
572191,"Taylor, Michael A.",0.2793597,70,306.0
572233,"Walker, Christian",0.3907027108433735,166,26.0
572761,"Carpenter, Matt",0.2118520476190476,42,390.0
573262,"Yastrzemski, Mike",0.2709901730769231,104,326.0
575929,"Contreras, Willson",0.3304886329113924,79,139.0
578428,"Iglesias, Jose",0.29089117333333336,75,271.0
592178,"Bryant, Kris",0.32243470588235296,51,161.0
592192,"Canha, Mark",0.3266855,106,145.0
592206,"Castellanos, Nick",0.36056089714285716,175,68.0
592273,"Drury, Brandon",0.2799720470588235,85,304.0
592450,"Judge, Aaron",0.4616912874251497,167,2.0
592518,"Machado, Manny",0.3625775549132948,173,64.0
592626,"Pederson, Joc",0.4445994158415842,101,7.0
592663,"Realmuto, J.T.",0.3561129357798165,109,74.0
